Test Number, StaticTypedList, list
1, 0.00018341700000001904 seconds, 0.00011041700000000154 seconds
2, 0.00013354200000001426 seconds, 0.0001077920000000232 seconds
3, 0.0001303329999999825 seconds, 0.00010445800000000172 seconds
4, 0.00012445799999999396 seconds, 0.0001017080000000059 seconds
5, 0.0001255000000000006 seconds, 0.00010137499999998689 seconds
6, 0.0001233750000000089 seconds, 0.0001021249999999807 seconds
7, 0.00012083399999998634 seconds, 0.00010037499999998589 seconds
8, 0.0001227500000000048 seconds, 0.00010200000000001874 seconds
9, 0.00012229199999999607 seconds, 0.0001018339999999951 seconds
10, 0.00012179200000000945 seconds, 0.00010083299999999462 seconds
11, 0.00012025000000001618 seconds, 0.00010237500000001565 seconds
12, 0.00012179200000000945 seconds, 0.00010050000000000336 seconds
13, 0.00012141599999998531 seconds, 9.720799999998753e-05 seconds
14, 0.00011679100000000497 seconds, 9.754099999997878e-05 seconds
15, 0.00011791699999999516 seconds, 9.762499999999008e-05 seconds
16, 0.00012587499999999752 seconds, 9.775000000000755e-05 seconds
17, 0.00011745800000001472 seconds, 9.879099999998697e-05 seconds
18, 0.00012033300000000025 seconds, 0.00010070900000000438 seconds
19, 0.0004073330000000097 seconds, 0.00010466600000000326 seconds
20, 0.00012362499999998833 seconds, 0.00010162499999999408 seconds
21, 0.00012204100000001716 seconds, 0.00010183300000002338 seconds
22, 0.00012424999999999242 seconds, 0.00010162499999999408 seconds
23, 0.0001225419999999755 seconds, 0.0001008339999999941 seconds
24, 0.0001224159999999863 seconds, 0.00010145799999999872 seconds
25, 0.000123000000000012 seconds, 0.00010154099999998278 seconds
26, 0.00011841599999998231 seconds, 9.79580000000091e-05 seconds
27, 0.00011795800000000134 seconds, 9.799999999998699e-05 seconds
28, 0.00012229200000002383 seconds, 0.00010175000000001155 seconds
29, 0.00012308299999999606 seconds, 0.00010062499999999308 seconds
30, 0.00011724999999998542 seconds, 9.704099999999216e-05 seconds
31, 0.0001177499999999998 seconds, 0.0001027499999999848 seconds
32, 0.0001166659999999875 seconds, 9.658300000001119e-05 seconds
33, 0.0001217500000000038 seconds, 0.00010099999999998999 seconds
34, 0.00012149999999999661 seconds, 0.00010112500000000746 seconds
35, 0.00012166600000002026 seconds, 9.950000000000236e-05 seconds
36, 0.0001211249999999997 seconds, 0.00010050000000000336 seconds
37, 0.00012062500000001308 seconds, 0.00010212500000000846 seconds
38, 0.00012166700000001973 seconds, 0.00010175000000001155 seconds
39, 0.00012370800000000015 seconds, 0.00010083299999999462 seconds
40, 0.0001238340000000171 seconds, 0.00010162500000002184 seconds
41, 0.00012158399999998015 seconds, 0.00010099999999998999 seconds
42, 0.00012233400000000172 seconds, 0.00015650000000000386 seconds
43, 0.00012254200000000326 seconds, 0.00010083299999999462 seconds
44, 0.00012333400000000272 seconds, 0.00010062499999999308 seconds
45, 0.00012179199999998169 seconds, 0.00010066699999999873 seconds
46, 0.00012291700000000017 seconds, 0.00010237500000001565 seconds
47, 0.00012416600000000888 seconds, 0.00010116699999998535 seconds
48, 0.00012270799999999915 seconds, 0.0001027499999999848 seconds
49, 0.00012083300000001462 seconds, 0.00010054100000000954 seconds
50, 0.00012054200000000126 seconds, 0.00010000000000001674 seconds
51, 0.00011925000000001518 seconds, 9.812500000000446e-05 seconds
52, 0.00011700000000000599 seconds, 9.662499999998908e-05 seconds
53, 0.00012320799999998577 seconds, 9.958299999998643e-05 seconds
54, 0.00013633399999998796 seconds, 9.879199999998645e-05 seconds
55, 0.00012150000000002437 seconds, 9.9333000000007e-05 seconds
56, 0.00013058299999998968 seconds, 0.0001017499999999838 seconds
57, 0.00011866600000001726 seconds, 9.616700000000811e-05 seconds
58, 0.0001183750000000039 seconds, 9.908299999999981e-05 seconds
59, 0.00012216600000000688 seconds, 0.00010066599999999926 seconds
60, 0.00012325000000001918 seconds, 0.000100333000000008 seconds
61, 0.00012233300000000225 seconds, 9.983299999999362e-05 seconds
62, 0.00012066699999999098 seconds, 0.00010104199999999564 seconds
63, 0.00012262499999998733 seconds, 0.00010108400000000128 seconds
64, 0.00012049999999999561 seconds, 0.0001008339999999941 seconds
65, 0.00012299999999998423 seconds, 0.00010108300000000181 seconds
66, 0.00012162500000001408 seconds, 0.00010037499999998589 seconds
67, 0.00012200000000001099 seconds, 0.00010212500000000846 seconds
68, 0.000123209000000013 seconds, 0.00010191700000000692 seconds
69, 0.0001271250000000057 seconds, 0.00010129200000000282 seconds
70, 0.00012179199999998169 seconds, 9.991700000000492e-05 seconds
71, 0.00012308299999999606 seconds, 0.00010179099999998997 seconds
72, 0.0001253329999999775 seconds, 0.00010058300000001519 seconds
73, 0.00012099999999998223 seconds, 9.999999999998899e-05 seconds
74, 0.00012329199999999707 seconds, 0.00010145799999999872 seconds
75, 0.00012379200000001145 seconds, 0.0001011249999999797 seconds
76, 0.00012179099999998222 seconds, 0.00010124999999999718 seconds
77, 0.0001211249999999997 seconds, 9.995899999998281e-05 seconds
78, 0.00012166699999999198 seconds, 0.00010045799999999772 seconds
