Test Number, StaticTypedList, list
1, 0.0003157920000000092 seconds, 0.0002612500000000184 seconds
2, 0.0002949160000000062 seconds, 0.00026404099999999264 seconds
3, 0.0002767499999999923 seconds, 0.0002485419999999905 seconds
4, 0.0002833750000000024 seconds, 0.00025649999999999284 seconds
5, 0.00027933400000001996 seconds, 0.0002554590000000134 seconds
6, 0.0002768330000000041 seconds, 0.0002476660000000075 seconds
7, 0.0002685829999999889 seconds, 0.00024670899999998386 seconds
8, 0.00027254099999998727 seconds, 0.0002464169999999988 seconds
9, 0.0002802499999999819 seconds, 0.0002504170000000028 seconds
10, 0.00026645899999999667 seconds, 0.0002442919999999793 seconds
11, 0.0002640000000000142 seconds, 0.00024483299999999986 seconds
12, 0.00025958300000000767 seconds, 0.00023900000000001698 seconds
13, 0.00026362499999998956 seconds, 0.00023804199999999387 seconds
14, 0.00026237500000000913 seconds, 0.00024104200000002463 seconds
15, 0.00026399999999998647 seconds, 0.00024258399999999014 seconds
16, 0.0002637080000000014 seconds, 0.00023970899999997686 seconds
17, 0.0002623749999999814 seconds, 0.00023583299999999086 seconds
18, 0.0005572920000000148 seconds, 0.00040483299999999334 seconds
19, 0.00027945900000000967 seconds, 0.000252540999999995 seconds
20, 0.00027212500000001194 seconds, 0.0002497909999999992 seconds
21, 0.00027062499999999656 seconds, 0.00024770800000001314 seconds
22, 0.00026912500000000894 seconds, 0.0002482500000000054 seconds
23, 0.00026954099999998427 seconds, 0.0002492500000000064 seconds
24, 0.000286874999999992 seconds, 0.0002484160000000013 seconds
25, 0.000271207999999995 seconds, 0.00024179100000001896 seconds
26, 0.00026066700000001997 seconds, 0.0002387500000000098 seconds
27, 0.0002623749999999814 seconds, 0.00023579199999998468 seconds
28, 0.0002657080000000034 seconds, 0.00024874999999999203 seconds
29, 0.0002628329999999901 seconds, 0.00023845899999999642 seconds
30, 0.00026116599999997936 seconds, 0.0002418750000000025 seconds
31, 0.0002682920000000033 seconds, 0.00024379199999999268 seconds
32, 0.0002672920000000023 seconds, 0.00024520899999999624 seconds
33, 0.00026783300000002286 seconds, 0.00024620799999999776 seconds
34, 0.00026958400000001714 seconds, 0.00024591700000001215 seconds
35, 0.0002679170000000064 seconds, 0.00024516600000001887 seconds
36, 0.000270541000000013 seconds, 0.00024674999999999003 seconds
37, 0.00027058300000001867 seconds, 0.0002484590000000064 seconds
38, 0.0002696670000000012 seconds, 0.00024695899999999105 seconds
39, 0.00026950000000000585 seconds, 0.0002477079999999854 seconds
40, 0.0002710830000000053 seconds, 0.00024683300000000186 seconds
41, 0.00027120900000002224 seconds, 0.0002488750000000095 seconds
42, 0.00029308299999999954 seconds, 0.00025037499999999713 seconds
43, 0.00027125000000000066 seconds, 0.0002485419999999905 seconds
44, 0.000270874999999976 seconds, 0.0002476250000000013 seconds
45, 0.0003090000000000037 seconds, 0.0003208340000000198 seconds
46, 0.00027112500000001094 seconds, 0.000251416999999976 seconds
47, 0.00026875000000001203 seconds, 0.0002474160000000003 seconds
48, 0.00027050000000000685 seconds, 0.0002476669999999792 seconds
49, 0.00027262499999999856 seconds, 0.00024620899999999724 seconds
50, 0.00026408399999999776 seconds, 0.00024162499999999532 seconds
51, 0.00026258300000001067 seconds, 0.0002432919999999783 seconds
52, 0.00026662499999999256 seconds, 0.00024349999999997984 seconds
53, 0.0002660830000000003 seconds, 0.0002383340000000067 seconds
54, 0.0002637920000000127 seconds, 0.00025283400000000733 seconds
55, 0.00029633300000000973 seconds, 0.0002598329999999871 seconds
56, 0.00027062499999999656 seconds, 0.00023662500000001807 seconds
57, 0.00026475000000000803 seconds, 0.00023762499999999132 seconds
58, 0.0002637920000000127 seconds, 0.0002408330000000236 seconds
59, 0.000270207999999994 seconds, 0.0002471669999999926 seconds
60, 0.00027054199999998474 seconds, 0.0002469169999999854 seconds
61, 0.0002705420000000125 seconds, 0.0002460840000000075 seconds
62, 0.0002692920000000043 seconds, 0.0002497919999999987 seconds
63, 0.0002752920000000103 seconds, 0.00024604200000000187 seconds
64, 0.0002729579999999898 seconds, 0.0002460419999999741 seconds
65, 0.00027175000000001504 seconds, 0.00024708300000000905 seconds
66, 0.00027024999999999966 seconds, 0.0002474169999999998 seconds
67, 0.0002697080000000074 seconds, 0.0002457079999999834 seconds
68, 0.00026970799999997963 seconds, 0.00024695899999999105 seconds
69, 0.000272207999999996 seconds, 0.0002475000000000116 seconds
70, 0.00027229199999997955 seconds, 0.0002478750000000085 seconds
71, 0.0002705420000000125 seconds, 0.0002465419999999885 seconds
72, 0.00027116699999998883 seconds, 0.00024962499999997556 seconds
73, 0.00027229100000000783 seconds, 0.0002472500000000044 seconds
74, 0.0002729589999999893 seconds, 0.0002469999999999972 seconds
75, 0.0002714580000000022 seconds, 0.00024845800000000695 seconds
76, 0.000271416999999996 seconds, 0.0002465000000000106 seconds
77, 0.0002706250000000243 seconds, 0.0002457090000000106 seconds
78, 0.0002716250000000253 seconds, 0.0002491250000000167 seconds
79, 0.0006282920000000025 seconds, 0.0002810420000000091 seconds
80, 0.0004663340000000127 seconds, 0.0002571660000000031 seconds
81, 0.00027570799999998563 seconds, 0.00025258300000000067 seconds
82, 0.000277208000000001 seconds, 0.0002489999999999992 seconds
83, 0.00027175000000001504 seconds, 0.00024745899999997767 seconds
84, 0.0002727080000000104 seconds, 0.0002475419999999895 seconds
85, 0.00027087500000000375 seconds, 0.0002488750000000095 seconds
86, 0.00027208400000000577 seconds, 0.0002457500000000168 seconds
87, 0.00026245800000002095 seconds, 0.00023954200000000925 seconds
88, 0.000262207999999986 seconds, 0.00024558299999999367 seconds
89, 0.0002662500000000234 seconds, 0.00025183300000000686 seconds
90, 0.000271416999999996 seconds, 0.0002442500000000014 seconds
91, 0.00026991699999998064 seconds, 0.0002368749999999975 seconds
92, 0.0002722920000000073 seconds, 0.0002382499999999954 seconds
93, 0.00027829199999998555 seconds, 0.0002542919999999893 seconds
94, 0.00027825000000000766 seconds, 0.0002922499999999939 seconds
95, 0.0002725829999999929 seconds, 0.0002519159999999909 seconds
96, 0.00027829199999998555 seconds, 0.00024508300000000705 seconds
97, 0.00026124999999999066 seconds, 0.00023629199999999906 seconds
98, 0.0002699589999999863 seconds, 0.0002409169999999794 seconds
99, 0.00026258300000001067 seconds, 0.0002482500000000054 seconds
100, 0.00027279199999999393 seconds, 0.00024520899999999624 seconds
